student_id,course_code,pref_score
S016,C11,3
S016,C12,3
S016,C13,3
S016,C14,3
S016,C15,3
S016,C16,3
S016,C17,3
S016,C18,3
S016,C19,3
S017,C01,3
S017,C02,3
S017,C03,3
S017,C04,3
S017,C05,3
S017,C06,3
S017,C07,3
S017,C08,3
S017,C09,3
S017,C10,3
S017,C11,3
S017,C12,3
S017,C13,3
S017,C14,3
S017,C15,3
S017,C16,3
S017,C17,3
S017,C18,3
S017,C19,3
S018,C01,-99
S018,C02,-99
S018,C03,-99
S018,C04,-99
S018,C05,-99
S018,C06,-99
S018,C07,-99
S018,C08,-99
S018,C09,2
S018,C10,3
S018,C11,-99
S018,C12,-99
S018,C13,-99
S018,C14,-99
S018,C15,-99
S018,C16,-99
S018,C17,-99
S018,C18,-99
S018,C19,-99
S019,C01,-99
S019,C02,-99
S019,C03,-99
S019,C04,-99
S019,C05,-99
S019,C06,-99
S019,C07,-99
S019,C08,-99
S019,C09,1
S019,C10,2
S019,C11,-99
S019,C12,-99
S019,C13,-99
S019,C14,-99
S019,C15,-99
S019,C16,-99
S019,C17,-99
S019,C18,-99
S019,C19,-99
S020,C01,-99
S020,C02,-99
S020,C03,-99
S020,C04,-99
S020,C05,-99
S020,C06,-99
S020,C07,-99
S020,C08,-99
S020,C09,-99
S020,C10,2
S020,C11,3
S020,C12,-99
S020,C13,-99
S020,C14,-99
S020,C15,-99
S020,C16,-99
S020,C17,-99
S020,C18,-99
S020,C19,-99
S021,C01,-99
S021,C02,-99
S021,C03,-99
S021,C04,-99
S021,C05,-99
S021,C06,-99
S021,C07,-99
S021,C08,-99
S021,C09,-99
S021,C10,3
S021,C11,1
S021,C12,-99
S021,C13,-99
S021,C14,-99
S021,C15,-99
S021,C16,-99
S021,C17,-99
S021,C18,-99
S021,C19,-99
S022,C01,-99
S022,C02,-99
S022,C03,-99
S022,C04,-99
S022,C05,-99
S022,C06,-99
S022,C07,-99
S022,C08,-99
S022,C09,1
S022,C10,2
S022,C11,3
S022,C12,-99
S022,C13,-99
S022,C14,-99
S022,C15,-99
S022,C16,-99
S022,C17,-99
S022,C18,-99
S022,C19,-99
S023,C01,-99
S023,C02,-99
S023,C03,-99
S023,C04,-99
S023,C05,-99
S023,C06,-99
S023,C07,-99
S023,C08,-99
S023,C09,2
S023,C10,3
S023,C11,1
S023,C12,-99
S023,C13,-99
S023,C14,-99
S023,C15,-99
S023,C16,-99
S023,C17,-99
S023,C18,-99
S023,C19,-99
S024,C01,-99
S024,C02,-99
S024,C03,-99
S024,C04,-99
S024,C05,-99
S024,C06,-99
S024,C07,1
S024,C08,-99
S024,C09,2
S024,C10,3
S024,C11,-99
S024,C12,-99
S024,C13,-99
S024,C14,-99
S024,C15,-99
S024,C16,-99
S024,C17,-99
S024,C18,-99
S024,C19,-99
S025,C01,-99
S025,C02,-99
S025,C03,-99
S025,C04,-99
S025,C05,-99
S025,C06,-99
S025,C07,3
S025,C08,-99
S025,C09,1
S025,C10,-99
S025,C11,-99
S025,C12,-99
S025,C13,-99
S025,C14,-99
S025,C15,-99
S025,C16,-99
S025,C17,-99
S025,C18,-99
S025,C19,-99
S026,C01,-99
S026,C02,-99
S026,C03,-99
S026,C04,-99
S026,C05,-99
S026,C06,-99
S026,C07,-99
S026,C08,1
S026,C09,2
S026,C10,3
S026,C11,-99
S026,C12,-99
S026,C13,-99
S026,C14,-99
S026,C15,-99
S026,C16,-99
S026,C17,-99
S026,C18,-99
S026,C19,-99
S027,C01,-99
S027,C02,-99
S027,C03,-99
S027,C04,-99
S027,C05,-99
S027,C06,-99
S027,C07,-99
S027,C08,1
S027,C09,3
S027,C10,2
S027,C11,-99
S027,C12,-99
S027,C13,-99
S027,C14,-99
S027,C15,-99
S027,C16,-99
S027,C17,-99
S027,C18,-99
S027,C19,-99
S028,C01,-99
S028,C02,-99
S028,C03,-99
S028,C04,-99
S028,C05,-99
S028,C06,-99
S028,C07,-99
S028,C08,2
S028,C09,1
S028,C10,3
S028,C11,-99
S028,C12,-99
S028,C13,-99
S028,C14,-99
S028,C15,-99
S028,C16,-99
S028,C17,-99
S028,C18,-99
S028,C19,-99
S029,C01,-99
S029,C02,-99
S029,C03,-99
S029,C04,-99
S029,C05,-99
S029,C06,-99
S029,C07,-99
S029,C08,-99
S029,C09,1
S029,C10,2
S029,C11,3
S029,C12,-99
S029,C13,-99
S029,C14,-99
S029,C15,-99
S029,C16,-99
S029,C17,-99
S029,C18,-99
S029,C19,-99
S030,C01,-99
S030,C02,-99
S030,C03,-99
S030,C04,-99
S030,C05,-99
S030,C06,-99
S030,C07,-99
S030,C08,2
S030,C09,-99
S030,C10,3
S030,C11,1
S030,C12,-99
S030,C13,-99
S030,C14,-99
S030,C15,-99
S030,C16,-99
S030,C17,-99
S030,C18,-99
S030,C19,-99
S031,C01,-99
S031,C02,-99
S031,C03,-99
S031,C04,-99
S031,C05,-99
S031,C06,-99
S031,C07,-99
S031,C08,2
S031,C09,1
S031,C10,3
S031,C11,-99
S031,C12,-99
S031,C13,-99
S031,C14,-99
S031,C15,-99
S031,C16,-99
S031,C17,-99
S031,C18,-99
S031,C19,-99
S032,C01,-99
S032,C02,-99
S032,C03,-99
S032,C04,-99
S032,C05,-99
S032,C06,-99
S032,C07,-99
S032,C08,-99
S032,C09,2
S032,C10,3
S032,C11,1
S032,C12,-99
S032,C13,-99
S032,C14,-99
S032,C15,-99
S032,C16,-99
S032,C17,-99
S032,C18,-99
S032,C19,-99
S033,C01,3
S033,C02,3
S033,C03,3
S033,C04,3
S033,C05,3
S033,C06,3
S033,C07,3
S033,C08,3
S033,C09,3
S033,C10,3
S033,C11,3
S033,C12,3
S033,C13,3
S033,C14,3
S033,C15,3
S033,C16,3
S033,C17,3
S033,C18,3
S033,C19,3
S034,C01,3
S034,C02,3
S034,C03,3
S034,C04,3
S034,C05,3
S034,C06,3
S034,C07,3
S034,C08,3
S034,C09,3
S034,C10,3
S034,C11,3
S034,C12,3
S034,C13,3
S034,C14,3
S034,C15,3
S034,C16,3
S034,C17,3
S034,C18,3
S034,C19,3
S035,C01,-99
S035,C02,-99
S035,C03,-99
S035,C04,-99
S035,C05,-99
S035,C06,-99
S035,C07,-99
S035,C08,3
S035,C09,2
S035,C10,1
S035,C11,-99
S035,C12,-99
S035,C13,-99
S035,C14,-99
S035,C15,-99
S035,C16,-99
S035,C17,-99
S035,C18,-99
S035,C19,-99
S036,C01,-99
S036,C02,-99
S036,C03,-99
S036,C04,-99
S036,C05,-99
S036,C06,-99
S036,C07,-99
S036,C08,1
S036,C09,-99
S036,C10,2
S036,C11,3
S036,C12,-99
S036,C13,-99
S036,C14,-99
S036,C15,-99
S036,C16,-99
S036,C17,-99
S036,C18,-99
S036,C19,-99
S037,C01,-99
S037,C02,-99
S037,C03,-99
S037,C04,-99
S037,C05,-99
S037,C06,-99
S037,C07,-99
S037,C08,1
S037,C09,-99
S037,C10,2
S037,C11,3
S037,C12,-99
S037,C13,-99
S037,C14,-99
S037,C15,-99
S037,C16,-99
S037,C17,-99
S037,C18,-99
S037,C19,-99
S038,C01,-99
S038,C02,-99
S038,C03,-99
S038,C04,-99
S038,C05,-99
S038,C06,-99
S038,C07,-99
S038,C08,-99
S038,C09,2
S038,C10,3
S038,C11,-99
S038,C12,-99
S038,C13,-99
S038,C14,-99
S038,C15,-99
S038,C16,-99
S038,C17,-99
S038,C18,-99
S038,C19,-99
S039,C01,-99
S039,C02,-99
S039,C03,-99
S039,C04,-99
S039,C05,-99
S039,C06,-99
S039,C07,2
S039,C08,-99
S039,C09,-99
S039,C10,1
S039,C11,-99
S039,C12,-99
S039,C13,-99
S039,C14,-99
S039,C15,-99
S039,C16,-99
S039,C17,-99
S039,C18,-99
S039,C19,-99
S040,C01,-99
S040,C02,-99
S040,C03,-99
S040,C04,-99
S040,C05,-99
S040,C06,-99
S040,C07,-99
S040,C08,-99
S040,C09,2
S040,C10,3
S040,C11,1
S040,C12,-99
S040,C13,-99
S040,C14,-99
S040,C15,-99
S040,C16,-99
S040,C17,-99
S040,C18,-99
S040,C19,-99
S041,C01,-99
S041,C02,-99
S041,C03,-99
S041,C04,-99
S041,C05,-99
S041,C06,-99
S041,C07,3
S041,C08,1
S041,C09,-99
S041,C10,2
S041,C11,-99
S041,C12,-99
S041,C13,-99
S041,C14,-99
S041,C15,-99
S041,C16,-99
S041,C17,-99
S041,C18,-99
S041,C19,-99
S042,C01,-99
S042,C02,-99
S042,C03,-99
S042,C04,-99
S042,C05,-99
S042,C06,-99
S042,C07,-99
S042,C08,1
S042,C09,3
S042,C10,-99
S042,C11,2
S042,C12,-99
S042,C13,-99
S042,C14,-99
S042,C15,-99
S042,C16,-99
S042,C17,-99
S042,C18,-99
S042,C19,-99
S043,C01,-99
S043,C02,-99
S043,C03,-99
S043,C04,-99
S043,C05,-99
S043,C06,-99
S043,C07,-99
S043,C08,-99
S043,C09,3
S043,C10,1
S043,C11,2
S043,C12,-99
S043,C13,-99
S043,C14,-99
S043,C15,-99
S043,C16,-99
S043,C17,-99
S043,C18,-99
S043,C19,-99
